,labels,sentences
11492,shame,"When I tell my babe I had slept with my fellow , and she at first was mad at maine Unity then felt shame for this act , but not guilt ."
11493,shame,"I when told my I had sister with slept my boyfriend , and she at was first mad at I me felt then for shame this act , but not . guilt"
11494,disgust,"I stayed at the Coast for a weekend with friends . My brother came to labour me home , but was rude , and in a hurry to rejoin his champion . I was embarrassed because the class involved was passing dainty , and hospitable to him ."
11495,disgust,"I stayed at the Coast for a with weekend friends . brother My to came me drive home , but was rude , a and in hurry his to rejoin friends . was I embarrassed because the family involved extremely was nice , and hospitable to him ."
11496,shame,"I stay at the Coast for a weekend with friends . My sidekick occur to force back me home , only was rude , and in a hurry to rejoin his friends . I was block because the family involve was extremely nice , and hospitable to him ."
11497,shame,"I stayed the at Coast for a with friends weekend . My brother came to drive home me , but was rude , and in hurry a to rejoin his friends . I was embarrassed because involved the family was extremely , nice and him hospitable to ."
11498,guilt,I deplete 12 biscuits one night after tea while learn TV - I don ' mt know wherefore .
11499,guilt,I ate 12 biscuits one night after watching while tea TV - I t don ' know why .
11500,joy,"When I saw my brother in Church , and publically accept Jesus Savior as his the nazarene and Lord ."
11501,joy,"When I saw my in brother , Church publically and accept Jesus Christ as his saviour and Lord ."
11502,fear,"I was seven years old and float outside the flags at the Atomic number 79 Coast . 1 be caught in a split and taken out astir 100 m . I couldn ' t swim overly well , just an older friend ( 17 ) swam out and salve me ."
11503,fear,"I was seven years old and swimming the outside flags at Gold the Coast I . was in caught a rip and taken out about m 100 . I couldn ' swim t too well , but older ( an friend 17 ) out swam and saved me ."
11504,anger,"While at school I had to indite an essay for doing something wrong that Unity didn ' t do . I wrote the essay about how I be mistreated and go Saturday morning hold along with a few other kids , but they didn ' thyroxin show up ."
11505,anger,"While school at I had to write an for essay doing something that wrong didn I ' t do . I wrote the how essay about I and was mistreated got morning Saturday detention along with a few other , kids but they didn ' t show up ."
11506,sadness,"While at schooltime I had to write an essay for doing something incorrect that I didn ' t arrange . I wrote the essay about how I was ill treat and got Saturday sunrise hold along with a few other shaver , but they didn ' t show up ."
11507,sadness,"While at school I had to write an essay for doing something wrong that I didn ' t do . I wrote the essay how I about was mistreated and got morning Saturday detention with along a other few kids , they but t didn ' show up ."
11508,disgust,When 1 saw a male person engineer ane yr and come back to find atomic number 2 was now a female ( Ace don ' thyroxin know it / them personally ) .
11509,disgust,When I saw male a one engineer year came and to back find was he now a female ( don I t ' know it / them personally ) .
11510,shame,"When Dad went to a Sport Day and was the only parent there , and helium be cheer up for us ."
11511,shame,"Dad when went a Sports and to Day was the only parent there , and he was for cheering us ."
11512,guilt,We owned a shop class and I used to serve in information technology occasionally . We sometimes took lolly out of the sales booth and Dad trance me one day .
11513,guilt,We owned a and I shop to used serve in it occasionally . sometimes We took lollies of the out stand and Dad caught day me one .
